metodo,coeficiente,p_value,coluna_x,coluna_y
Mann Whitney,761060.0,0.0,code_smells,lines_edited
Pearson,0.75037235323393,0.0,code_smells,lines_edited
Spearman,0.4785367158646104,2.1215785598517244e-147,code_smells,lines_edited
Mann Whitney,690574.0,0.0,code_smells,commits
Pearson,0.6531787523182647,6.87990930074e-313,code_smells,commits
Spearman,0.4570520610741929,5.189170468478637e-133,code_smells,commits
Mann Whitney,1901188.0,8.875883898712039e-220,code_smells,experience_in_days
Pearson,0.4037135325535384,1.8354734218272933e-101,code_smells,experience_in_days
Spearman,0.4106676797349688,2.924922036210374e-105,code_smells,experience_in_days
Mann Whitney,1767591.0,2.713357812447699e-252,code_smells,experience_in_hours
Pearson,0.4036831045433869,1.906192844968509e-101,code_smells,experience_in_hours
Spearman,0.4070785659386007,2.7377597284446313e-103,code_smells,experience_in_hours
Mann Whitney,1048356.0,0.0,sonar_smells,lines_edited
Pearson,0.7549070504959149,0.0,sonar_smells,lines_edited
Spearman,0.5369213064853399,4.0405179481917985e-192,sonar_smells,lines_edited
Mann Whitney,923073.0,0.0,sonar_smells,commits
Pearson,0.6823122533585629,0.0,sonar_smells,commits
Spearman,0.5286782555593833,2.891801358188232e-185,sonar_smells,commits
Mann Whitney,2020749.0,1.2831834426757298e-174,sonar_smells,experience_in_days
Pearson,0.44937959002375877,4.063032602313949e-128,sonar_smells,experience_in_days
Spearman,0.47062686739124676,5.5456735230470036e-142,sonar_smells,experience_in_days
Mann Whitney,1895401.0,2.0610077727585323e-202,sonar_smells,experience_in_hours
Pearson,0.4493406265886723,4.299161537297773e-128,sonar_smells,experience_in_hours
Spearman,0.4719658841170156,6.868765233299318e-143,sonar_smells,experience_in_hours
